"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves,Views
17941259735944062,17841407868310918,kan_news,"כאן חדשות","לוחמי שלדג מצאו מנוע של מסוק צה״ל שהתרסק לפני 50 שנה בחרמון הסורי, כשהיה בדרך לחלץ גופות ופצועים ב-27 באפריל 1974.

בתאונה נפלו הטייסים סרן גולן לוי וסגן עמית אמיר, המכונאים המוטסים סמל יעקב ברנהיים וסמ״ר יעקב רול, הרופא רס״ן ד״ר אחיקם אבני והחופש סמ״ר מאיר רוזנשטרוך. בצה״ל מקווים למצוא באזור שרידים נוספים של המסוק 

@ItayBlumental
צילום: מתוך אתר ״יזכור״",0,"12/22/2024 00:42",https://www.instagram.com/p/DD39PFpqBAq/,"IG image",,Lifetime,48682,2949,51,0,23,73,62767
17980039874792075,17841464234747957,kan_reshetb,"כאן רשת ב","השר דוד אמסלם: לא תחזור התיישבות יהודית לרצועת עזה. מי שמדבר על זה מדבר סתם באוויר

#קלמןליברמן",38,"12/22/2024 00:03",https://www.instagram.com/reel/DD34oNVsU_p/,"IG reel",,Lifetime,28121,334,28,2,71,0,46561
18259745935255840,17841407868310918,kan_news,"כאן חדשות","בהתאם להצהרות של בכירי מערכת הביטחון, לאחר התקיפה שלשום בתימן, בישראל נערכים למתקפה נוספת בתימן נגד המורדים החות’ים – והפעם, בניגוד לשלוש התקיפות הקודמות, מנסים לרתום למהלך משמעותי גם מדינות נוספות. כך פורסם הערב בחדשות השבת בכאן 11.
@itayblumental 

צילום: רויטרס",0,"12/21/2024 13:00",https://www.instagram.com/p/DD2s5FYIuU0/,"IG carousel",,Lifetime,40633,1591,11,0,52,34,68725
17949537794875851,17841407868310918,kan_news,"כאן חדשות","160 ילדים חולצו מהכת החרדית “לב טהור” בגואטמלה 👇
הרשויות שוקלות להגיש כתבי אישום, שיכללו סחר בבני אדם, הריון בכפייה, התעללות בקטינים ואונס
@moavvardi",172,"12/21/2024 12:35",https://www.instagram.com/reel/DD2hQvAIlNt/,"IG reel",,Lifetime,63754,3397,589,13,166,249,116212
18158216176335017,17841407868310918,kan_news,"כאן חדשות","מתחשמק לכם שמעק? תכירו את הטבק החרדי
#מקורב_לצלחת Shaul Amsterdamski",37,"12/21/2024 12:01",https://www.instagram.com/reel/DD2mHU1s84d/,"IG reel",,Lifetime,187720,4345,3887,48,102,409,291266
18038935349462114,17841407868310918,kan_news,"כאן חדשות","“הם כבר הכריזו עלינו כמשפחה שכולה״👇

הוריו של החייל החטוף נמרוד כהן, שממנו התקבלו אותות חיים, קיבלו הזמנה ליום משפחות שכולות של חטיבה 7 של השריון. יהודה כהן אביו התרעם בשיחה עם כאן חדשות: ""הם כבר הכריזו עלינו כמשפחה שכולה"".

יהודה הוסיף: ""את דוח החקירה הרשמי על כל הההתנהלות הפושעת של היחידה לגבי הטנק עוד לא קיבלנו, אבל כן קיבלנו מהם את התואר הנכבד משפחה שכולה. שהציבור ידע איך המערכת שהפקירה את הבן שלי מתייחסת אלינו"".
 
בקשת תגובה הועברה לדובר צה""ל, אך טרם התקבלה תשובה. לאחר ההכרזה על נפילתו של עומר נאוטרה ב-7 באוקטובר וחטיפת גופתו לעזה, עלה שנמרוד הוא החייל היחיד ששרד את ההיתקלות ונחטף בעודו בחיים לעזה.

@nofarji",0,"12/21/2024 08:28",https://www.instagram.com/p/DD2N1C9t84X/,"IG carousel",,Lifetime,54559,2518,99,0,73,56,89251
18258369574261299,17841407868310918,kan_news,"כאן חדשות","החדר של זוהר בת השנתיים נהרס בעקבות השיגור מתימן - אמה סיפרה: ""במזל גדול היא ישנה הלילה איתי. אני לא יודעת אם הייתי מספיקה לקחת אותה אם היא הייתה כאן בחדר""
@oferhalfono",28,"12/21/2024 06:35",https://www.instagram.com/reel/DD2A1OUsBWL/,"IG reel",,Lifetime,26302,504,30,6,74,15,40490
18266319298267072,17841407868310918,kan_news,"כאן חדשות","אם אין פסטה תאכלו עוגות? המחירים לא מפסיקים לעלות והקניות הבסיסיות בסופר הפכו לסיוט
@lielkyzer",64,"12/21/2024 01:01",https://www.instagram.com/reel/DD1alvqvb2a/,"IG reel",,Lifetime,53292,2065,208,6,181,86,91532
18075121207720859,17841407868310918,kan_news,"כאן חדשות","מכתש בגינת הילדים, בין בניינים: אזעקה הרעידה הלילה את גוש דן בעקבות ירי טיל בליסטי מתימן. הטיל פגע בגינת משחקים ביפו
@hadasgrinberg",19,"12/20/2024 18:35",https://www.instagram.com/reel/DD0ueiOoSNm/,"IG reel",,Lifetime,46783,1283,258,13,144,63,82462
18048614147492686,17841407868310918,kan_news,"כאן חדשות","הדיווח הרשמי של הרשויות בגרמניה אומר 2 הרוגים, אבל עיתון ה""בילד"" כבר מדווח על 11 הרוגים ולפחות 60 פצועים",27,"12/20/2024 13:14",https://www.instagram.com/reel/DD0Jr_DNvl3/,"IG reel",,Lifetime,59201,1529,170,6,356,81,116721
18286344631171684,17841407868310918,kan_news,"כאן חדשות","סבתא מעל הקבר של הנכדה 💔 ""הייתי מוכנה להתחלף איתך""

@vicoatooan",81,"12/20/2024 13:01",https://www.instagram.com/reel/DD0IOSIuPJR/,"IG reel",,Lifetime,55383,4286,124,20,744,143,88544
18140704849365228,17841407868310918,kan_news,"כאן חדשות","תכירו את החמושים מג'נין שרוצים שאבו-מאזן ילמד
מאסד - ויסתלק
#שובר_חומות @eliorlevy",354,"12/20/2024 05:43",https://www.instagram.com/reel/DDzWBlpqulN/,"IG reel",,Lifetime,63116,2261,484,19,155,215,100836
