story_id,date,time,type,views,reach,replies,shares,total_interactions,profile_visits,follows,taps_forward,taps_back,swipes_forward,exits,exit_rate,permalink,pulled_at
18014983331864182,2026-08-02,20:35,VIDEO,5561,4235,3,0,10,14,0,3547,329,508,681,21.4,https://www.instagram.com/stories/kan_news/3954994828445658901,2026-08-03 08:41
18221584279328739,2026-08-02,15:10,VIDEO,8227,6837,1,1,9,26,0,4775,96,1135,793,23.4,https://www.instagram.com/stories/kan_news/3954831210852838619,2026-08-03 08:42
18044259977604424,2026-08-01,17:37,VIDEO,8120,7093,1,2,33,5,0,5703,258,524,604,13.9,https://www.instagram.com/stories/kan_news/3954180545444984578,2026-08-02 08:40
17961905622158058,2026-08-01,19:26,VIDEO,6943,6041,8,6,35,16,0,4243,172,474,1131,23.1,https://www.instagram.com/stories/kan_news/3954235198803203147,2026-08-02 08:40
18111061555811581,2026-08-01,14:15,VIDEO,10192,8820,11,2,38,8,0,7332,310,672,711,13.6,https://www.instagram.com/stories/kan_news/3954078599816052843,2026-08-02 08:40
17931699534124076,2026-08-01,08:17,VIDEO,0,0,0,0,0,0,0,0,0,0,0,0,https://www.instagram.com/stories/kan_news/3953898701151405847,2026-08-01 08:40
17981398701101390,2026-08-01,11:50,VIDEO,11399,9814,8,12,74,11,0,7941,543,935,812,15.3,https://www.instagram.com/stories/kan_news/3954005628137138809,2026-08-02 08:40
18110811337961340,2026-07-31,13:56,VIDEO,8410,7238,6,2,37,2,0,6663,427,329,303,7.5,https://www.instagram.com/stories/kan_news/3953344425798855774,2026-08-01 08:40
18072359492391460,2026-07-31,00:10,VIDEO,6872,5556,11,4,23,2,0,4532,317,403,463,12.6,https://www.instagram.com/stories/kan_news/3952928783224467388,2026-07-31 08:37
18067641329480710,2026-07-31,12:19,IMAGE,10406,8695,4,0,21,8,0,7542,230,922,522,13.9,https://www.instagram.com/stories/kan_news/3953295401683565948,2026-08-01 08:40
18378544471230660,2026-07-31,12:19,VIDEO,9866,8211,3,5,37,5,0,7297,533,491,537,10.4,https://www.instagram.com/stories/kan_news/3953295514333783675,2026-08-01 08:40
