תאריך,שעה,וידאו,סוג מדיה,טקסט הציוץ,קישור,צפיות,לייקים,ריטוויטים,תגובות,שיעור מעורבות %,מקור,tweet_id
2026-07-09,13:27,כן,Video,"משבר ה""צרפוקאים"": הזמר אבי טולדנו לא יודע את מי לאהוד הערב במשחק בין מרוקו לצרפת. ""אני פשוט מבולבל, הלב שלי חצוי"" #חדשותהלילה @eliorlevy",https://x.com/kann_news/status/2075164921780711863,23157,12,2,10,0.13,גיליון,2075164921780711863
2026-07-09,13:28,כן,Video,"לאיזו נבחרת יש את המדים הכי מכוערים? ולמי יש את הכי יפים? טל שטח, כדורגלן עבר וכיום המעצב של מדי נבחרת ישראל, עושה סדר במדי הנבחרות במונדיאל #חדשותהלילה @eliorlevy",https://x.com/kann_news/status/2075165153314615785,5071,10,1,3,0.28,גיליון,2075165153314615785
2026-07-09,20:53,כן,Video,"לקראת המשחק המתוח מול מרוקו הערב, כוננות שיא בפריז מחשש למהומות ועימותים, ללא קשר לתוצאה | @DovGilHar מהבירה החוששת  #מהדורתכאןחדשות עם @TaliMoreno_",https://x.com/kann_news/status/2075277056686825685,4035,11,4,1,0.42,גיליון,2075277056686825685
2026-07-10,22:17,כן,Video,"ארגנטינה ומסי רוצים ללכת עד הסוף, אבל יצטרכו לעבור את שווייץ ברבע גמר המונדיאל. ברקע: דיווחים על שחיקה בפופולריות של הנבחרת מדרום אמריקה - גם בשל תמיכת מיליי בישראל | @Yoav__Zehavi  מדווח  #חדשותשישי עם @MoavVardi",https://x.com/kann_news/status/2075660777369784795,9069,12,1,5,0.2,גיליון,2075660777369784795
2026-07-10,23:07,כן,Video,"ספרד ובלגיה ייפגשו עוד מעט ברבע הגמר הראשון של המונדיאל | שליחת כאן חדשות אורלי אלקלעי על הכרטיסים שנמכרו למשחק באלפי דולרים, וגם המפגינים הפרו-פלסטינים מחוץ לאצטדיון  #חדשותשישי עם @MoavVardi",https://x.com/kann_news/status/2075673173798904007,5747,5,0,2,0.12,גיליון,2075673173798904007
2026-07-11,01:52,כן,Video,"פרעות אחרי רבע הגמר בפריז, לא משנה מה תהיה התוצאה? @DovGilHar שליחנו לאירופה יצא לחיפוש לילי כושל אחרי מהומות, שלימד אותו דבר או שניים על ""חירות, שוויון, אחווה""  #חדשותשישי עם @MoavVardi",https://x.com/kann_news/status/2075714818120511966,48780,64,3,16,0.18,גיליון,2075714818120511966
2026-07-11,16:48,לא,Text,"שחקן נבחרת דרום אפריקה, ג'יידן אדאמס, ששיחק במונדיאל רק לפני כשבועיים, שם קץ לחייו בגיל 25  @YoavBorowitz",https://x.com/kann_news/status/2075940237629383068,30399,70,1,28,0.34,גיליון,2075940237629383068
2026-07-12,18:37,כן,Video,ארגנטינה העפילה לחצי גמר המונדיאל - והאוהדים חגגו לתוך הלילה | @Yoav__Zehavi ממוקד החגיגות   #העולםהיום עם @michalresh,https://x.com/kann_news/status/2076329987855036900,4600,6,2,1,0.2,גיליון,2076329987855036900
2026-07-12,18:56,כן,Video,"המסע החלומי של נורווגיה במונדיאל הסתיים ברבע הגמר, אך במדינה הסקנדינבית מרוצים: ""הגענו רחוק, אנחנו מאוד גאים בנבחרת""  #העולםהיום עם @michalresh",https://x.com/kann_news/status/2076334838680854893,5243,9,1,1,0.21,גיליון,2076334838680854893
2026-07-12,22:36,כן,Video,מחר במהדורת כאן חדשות | רגעי ההכרעה במונדיאל הגיעו - ולא תאמינו איך משחק אחד משפיע על הלב שלכם  @Nov_reuveny,https://x.com/kann_news/status/2076390142009319835,5502,7,2,1,0.18,גיליון,2076390142009319835
2026-07-12,23:14,כן,Video,הכוכב הנורווגי של המונדיאל: ארלינג האלנד הלך הביתה - אבל העולם לא מפסיק לדבר עליו | @DovGilHar  מאירופה  #מהדורתכאןחדשות עם @mayarachlin,https://x.com/kann_news/status/2076399708130382015,8848,32,2,1,0.4,גיליון,2076399708130382015
2026-07-13,05:55,כן,Video,הערב במהדורת כאן חדשות | רגעי ההכרעה במונדיאל הגיעו - ולא תאמינו איך משחק אחד משפיע עליכם  @Nov_reuveny,https://x.com/kann_news/status/2076500798754763115,10286,9,14,0,0.22,גיליון,2076500798754763115
2026-07-13,17:04,כן,Video,הערב ב-19:00 בכאן 11 | אולפן מונדיאל: לקראת חצי הגמר עם @eliorlevy  ו@kaisos1987,https://x.com/kann_news/status/2076669184386236912,9411,10,9,0,0.21,גיליון,2076669184386236912
2026-07-13,21:17,כן,Video,חצי הגמר של מונדיאל 2026: @lianwildau ואורלי אלקלעי מדווחים מחוץ לאימון נבחרת צרפת לקראת המשחק מחר מול ספרד; @Yoav__Zehavi עם ההתרגשות באטלנטה הגשומה לקראת המשחק של ארגנטינה מול אנגליה ברביעי  #מהדורתכאןחדשות עם @mayarachlin,https://x.com/kann_news/status/2076732685230215268,4213,5,1,0,0.14,גיליון,2076732685230215268
2026-07-13,21:30,כן,Video,"מחר במהדורת כאן חדשות | כל העדכונים לפני חצי גמר המונדיאל, וגם - טורף העל שהגיע לחופי ישראל  @Yoav__Zehavi @talberman @TaliMoreno_ @ifatglick אורלי אלקלעי",https://x.com/kann_news/status/2076735914471206948,6328,6,5,0,0.21,גיליון,2076735914471206948
2026-07-14,07:35,לא,Text,אדידס מול נייקי ואגו מול ניפוץ שיאים: הדו-קרב של שני הכוכבים בחצי גמר המונדיאל | לידיעה המלאה >>> https://www.kan.org.il/content/kan-news/opinions/1076025/  (עמית לוינטל),https://x.com/kann_news/status/2076888289039011886,3983,5,0,2,0.18,גיליון,2076888289039011886
2026-07-14,09:03,כן,Video,מה עושה גול של מסי ללב של אוהדי ארגנטינה? הסיכון הבריאותי בצפייה במונדיאל | מוסף MEDמן של @Nov_reuveny   #מהדורתכאןחדשות,https://x.com/kann_news/status/2076910337694048583,5321,7,1,1,0.17,גיליון,2076910337694048583
